Gene,b3,b4,i1,i2,i1n,i2n,b3n,b4n,Start,Stop,Order,Strand,Length,Function,InsectFitness
40,0,0,515,36,390,36,0,0,45723,46802,40,+,1080,racemase (EC 5.1.1.1),0
73,0,0,0,5,0,5,0,0,86184,87059,73,+,876,dehydrogenase (NADP+) (EC 1.5.1.5) / Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9),0
136,0,0,7,20,5,20,0,0,144416,144955,136,+,540,Putative alpha helix protein,0
157,1,0,31,41,23,41,0,0,164508,164660,157,-,153,protein,0
202,1,0,0,21,0,21,0,0,207951,208064,202,-,114,protein,0
209,0,0,176,188,133,188,0,0,215097,216239,209,-,1143,acid biosynthesis aminotransferase PglE; 4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase,0
219,0,0,11,22,8,22,0,0,224760,225236,219,-,477,"export cytoplasm chaperone protein (SecB, maintains protein to be exported in unfolded state)",0
232,0,0,92,4,70,4,0,0,238715,239845,232,-,1131,"LPS alpha1,3-glucosyltransferase WaaG (EC 2.4.1.-)",0
242,0,0,161,125,122,125,0,0,249372,250493,242,-,1122,(EC 2.4.1.-),0
254,0,0,6,0,5,0,0,0,258352,258492,254,+,141,,0
283,0,0,0,3,0,3,0,0,291717,294374,283,+,2658,involved in DNA repair,0
285,0,0,24,92,18,92,0,0,295864,297228,285,-,1365,and tRNA-U34 5-formylation enzyme TrmE,0
329,0,0,0,10,0,10,0,0,344046,344594,329,+,549,protein,0
417,0,0,174,264,132,264,0,0,423670,424851,417,-,1182,(plasmid) partitioning protein ParB,0
440,0,0,27,0,20,0,0,0,440807,441085,440,+,279,protein,0
456,0,0,0,4,0,4,0,0,455532,457346,456,+,1815,membrane protein SecD (TC 3.A.5.1.1),0
465,0,0,0,4,0,4,0,0,462838,462987,465,-,150,protein,0
560,0,0,411,368,311,368,0,0,572879,573319,560,-,441,biosynthesis protein FlgN,0
675,0,0,0,2,0,2,0,0,695102,696127,675,+,1026,nucleotide synthesis repressor,0
676,1,0,0,35,0,35,0,0,696134,697042,676,-,909,transcriptional regulator YdhB,0
683,0,0,26,30,20,30,0,0,704523,705932,683,+,1410,kinase (EC 2.7.1.40),0
691,0,0,156,0,118,0,0,0,711626,712939,691,-,1314,cluster assembly protein SufD,0
737,2,0,0,6,0,6,0,0,766798,767280,737,-,483,phosphatase SixA,0
749,0,1,344,464,260,464,0,0,779384,780286,749,+,903,family regulatory protein CidR,0
